City_name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max_temperature,Wind_speed
Timrå,63,SE,1602991787,100,62.49,17.33,36.0,8.7
Aquiraz,40,BR,1602991724,78,-3.9,-38.39,80.6,13.87
Sovetskoye,100,RU,1602991789,47,52.29,85.41,51.91,8.55
Richards Bay,2,ZA,1602991790,90,-28.78,32.04,68.04,8.25
Bethel,1,US,1602991791,93,41.37,-73.41,42.01,0.36
Barrow,1,US,1602991792,73,71.29,-156.79,19.4,12.75
Sangar,100,RU,1602991793,93,63.92,127.47,20.21,6.64
Kantemirovka,100,RU,1602991794,81,49.71,39.86,57.69,9.69
Saskylakh,99,RU,1602991795,96,71.92,114.08,16.05,4.45
Verkhnyaya Inta,81,RU,1602991796,97,65.98,60.31,27.81,14.74
Englewood,40,US,1602991705,26,39.65,-104.99,57.99,11.41
Trincomalee,88,LK,1602991798,71,8.57,81.23,83.61,16.71
São Francisco do Sul,63,BR,1602991799,92,-26.24,-48.64,63.0,2.37
Byron Bay,41,AU,1602991801,54,-28.65,153.62,88.0,17.22
Fortuna,1,US,1602991802,87,40.6,-124.16,55.99,6.93
Hokitika,92,NZ,1602991804,89,-42.72,170.97,55.6,5.26
Fes,0,MA,1602991805,71,34.04,-5.0,50.0,6.93
Letlhakane,0,BW,1602991807,47,-21.42,25.58,69.69,7.27
Thinadhoo,62,MV,1602991808,77,0.53,72.93,83.34,21.43
Charters Towers,0,AU,1602991809,19,-20.1,146.27,89.26,4.52
Santa Maria,100,BR,1602991706,63,-29.68,-53.81,64.18,4.54
Longyearbyen,75,SJ,1602991811,73,78.22,15.64,26.6,8.05
Corsicana,90,US,1602991812,78,32.1,-96.47,73.4,14.99
Kushiro,20,JP,1602991814,54,42.98,144.37,59.0,12.75
San Cristobal,82,VE,1602991517,87,7.77,-72.22,66.06,3.4
Padang,90,ID,1602991816,59,-0.95,100.35,85.87,4.14
Sawākin,16,SD,1602991817,75,19.11,37.33,81.66,8.43
Tartagal,15,AR,1602991818,58,-22.52,-63.8,75.81,3.51
Khakhea,5,BW,1602991820,30,-24.69,23.49,73.9,10.63
Airai,65,TL,1602991821,37,-8.93,125.41,82.38,3.15
Juneau,75,US,1602991822,59,58.3,-134.42,36.0,6.6
Ponca City,1,US,1602991824,63,36.71,-97.09,64.4,13.87
Awjilah,0,LY,1602991825,24,29.11,21.29,77.34,12.64
Beloha,7,MG,1602991826,73,-25.17,45.05,68.5,16.69
